event_id,market_id,slug,asset,duration,question,start_time,end_time,yes_token_id,no_token_id,resolution_source,volume,active,closed
127174,1039037,eth-updown-15m-1766938500,ETH,5m,"Ethereum Up or Down - December 28, 11:15AM-11:30AM ET",1766938500,1766939400,25539439883518463513418088585981540422036418398428433300509795792638047758971,65628890123834835964951678531098413175883700744328566242390390287569342749207,https://data.chain.link/streams/eth-usd,0.0,true,false
126238,1034428,sol-updown-5m-1766896500,SOL,5m,"Solana Up or Down - December 27, 11:35PM-11:40PM ET",1766896500,1766896800,5433295102428053889754139155313130079914652248256077992809841280129506176171,83543393998861126383937658662913228388491584102939242546559785137214650767436,https://data.chain.link/streams/sol-usd,0.0,true,false
127865,1043071,sol-updown-5m-1766967300,SOL,5m,"Solana Up or Down - December 28, 7:15PM-7:20PM ET",1766967300,1766967600,18856338208206371977609888554348185008501081816609669428960496726896453072166,46965590851287884746934603262170969692190193513318828218072148984028374686794,https://data.chain.link/streams/sol-usd,0.0,true,false
127109,1038902,eth-updown-5m-1766935200,ETH,5m,"Ethereum Up or Down - December 28, 10:20AM-10:25AM ET",1766935200,1766935500,102267781402775327944027321067878488924539342069972027547407167064891575175907,59163195037893348315385879141519297117363785529743505176600088243485690986583,https://data.chain.link/streams/eth-usd,0.0,true,false
126670,1036913,eth-updown-15m-1766917800,ETH,5m,"Ethereum Up or Down - December 28, 5:30AM-5:45AM ET",1766917800,1766918700,5421489824603881637417778303157298347485346680673787422098656540304340343670,19661089228415080237355067468722896195912443154403057028929577598908866416674,https://data.chain.link/streams/eth-usd,0.0,true,false
110018,964471,eth-updown-5m-1766163600,ETH,5m,"Ethereum Up or Down - December 19, 12:00PM-12:05PM ET",1766163600,1766163900,27335678910327160333083310491514147351029631443471914277374898113757811517804,16456885285623997499338967631921637551043452506150680363519677680197971988931,https://data.chain.link/streams/eth-usd,0.0,true,false
127438,1040432,sol-updown-5m-1766948700,SOL,5m,"Solana Up or Down - December 28, 2:05PM-2:10PM ET",1766948700,1766949000,83301662046455993657153595616539490601745120375116874111136422889795774625717,21188016862974014266062412136716224042308206808109080415805232480943456032727,https://data.chain.link/streams/sol-usd,0.0,true,false
126445,1035746,btc-updown-5m-1766906400,BTC,5m,"Bitcoin Up or Down - December 28, 2:20AM-2:25AM ET",1766906400,1766906700,2959443042468873864263083111297820125981434065488408411493864447193593513302,98491021297077645793472608627719724510263224202577645100797786694554580946447,https://data.chain.link/streams/btc-usd,0.0,true,false
127900,1043186,eth-updown-5m-1766969400,ETH,5m,"Ethereum Up or Down - December 28, 7:50PM-7:55PM ET",1766969400,1766969700,28939467632252569158188908372259929264874124200763612024019220181262325894400,81562511721207788193642168053698845018195315231168109044343717402873196422350,https://data.chain.link/streams/eth-usd,0.0,true,false
127980,1043607,btc-updown-5m-1766973300,BTC,5m,"Bitcoin Up or Down - December 28, 8:55PM-9:00PM ET",1766973300,1766973600,56146824665331478900178005212794447110704385946825756442141192857598459777550,88845131787803064569174687759834135567240422460708915429486893458072747439885,https://data.chain.link/streams/btc-usd,0.0,true,false
127972,1043591,eth-updown-5m-1766973000,ETH,5m,"Ethereum Up or Down - December 28, 8:50PM-8:55PM ET",1766973000,1766973300,86466267171426669410531117959460182823493632183124530626162977682166112076784,7080542482594545343039347470276456789909233416225535861866406764539208310095,https://data.chain.link/streams/eth-usd,0.0,true,false
